subject,block,trial_start,trial_end,n,n_L,n_R,new_session,acc_adaptive,acc_frozen
sub-001,1,60,94,35,15,20,False,0.6,0.6
sub-001,2,95,124,30,15,15,True,0.4666666666666667,0.5666666666666667
sub-001,3,125,154,30,15,15,False,0.43333333333333335,0.43333333333333335
sub-001,4,155,190,36,21,15,False,0.6666666666666666,0.3611111111111111
sub-001,5,191,228,38,15,23,True,0.631578947368421,0.5263157894736842
sub-001,6,229,265,37,22,15,False,0.5135135135135135,0.40540540540540543
sub-001,7,266,296,31,15,16,False,0.6129032258064516,0.5483870967741935
sub-001,8,297,326,30,15,15,True,0.4666666666666667,0.5666666666666667
sub-001,9,327,356,30,15,15,False,0.6666666666666666,0.5
sub-001,10,357,390,34,19,15,False,0.5588235294117647,0.4411764705882353
sub-001,11,391,425,35,15,20,True,0.6857142857142857,0.6285714285714286
sub-001,12,426,458,33,15,18,False,0.6060606060606061,0.48484848484848486
sub-001,13,459,490,32,17,15,False,0.5,0.5
sub-002,1,61,90,30,15,15,False,0.7666666666666667,0.7666666666666667
sub-002,2,91,124,34,19,15,True,0.5882352941176471,0.6470588235294118
sub-002,3,125,157,33,15,18,False,0.7575757575757576,0.45454545454545453
sub-002,4,158,188,31,15,16,True,0.7741935483870968,0.5806451612903226
sub-002,5,189,221,33,15,18,False,0.5757575757575758,0.45454545454545453
sub-002,6,222,258,37,22,15,False,0.5945945945945946,0.6216216216216216
sub-002,7,259,296,38,23,15,True,0.5,0.7631578947368421
sub-002,8,297,331,35,15,20,False,0.6,0.42857142857142855
sub-002,9,332,363,32,15,17,False,0.71875,0.46875
sub-002,10,364,393,30,15,15,True,0.9333333333333333,0.4666666666666667
sub-002,11,394,423,30,15,15,False,0.8,0.7333333333333333
sub-002,12,424,457,34,19,15,False,0.7352941176470589,0.7058823529411765
sub-002,13,458,481,24,12,12,False,0.8333333333333334,0.625
sub-013,1,60,92,33,18,15,False,0.7272727272727273,0.7272727272727273
sub-013,2,93,128,36,15,21,True,0.4722222222222222,0.5555555555555556
sub-013,3,129,160,32,15,17,False,0.5,0.4375
sub-013,4,161,192,32,17,15,False,0.5,0.6875
sub-013,5,193,222,30,15,15,True,0.5,0.5666666666666667
sub-013,6,223,252,30,15,15,False,0.9,0.7
sub-013,7,253,282,30,15,15,False,0.8,0.5666666666666667
sub-013,8,283,312,30,15,15,True,0.6666666666666666,0.5333333333333333
sub-013,9,313,347,35,15,20,False,0.4857142857142857,0.5714285714285714
sub-013,10,348,380,33,18,15,False,0.2727272727272727,0.45454545454545453
sub-013,11,381,412,32,15,17,True,0.5625,0.53125
sub-013,12,413,443,31,16,15,False,0.8709677419354839,0.4838709677419355
sub-013,13,444,475,32,15,17,False,0.8125,0.53125
sub-016,1,60,89,30,15,15,False,0.5666666666666667,0.5666666666666667
sub-016,2,90,119,30,15,15,True,0.4,0.6
sub-016,3,120,149,30,15,15,False,0.5666666666666667,0.5
sub-016,4,150,179,30,15,15,False,0.6666666666666666,0.5
sub-016,5,180,211,32,15,17,True,0.59375,0.5
sub-016,6,212,242,31,16,15,False,0.7096774193548387,0.5806451612903226
sub-016,7,243,272,30,15,15,False,0.9333333333333333,0.6333333333333333
sub-016,8,273,302,30,15,15,True,0.5,0.5
sub-016,9,303,333,31,15,16,False,0.6129032258064516,0.6129032258064516
sub-016,10,334,365,32,17,15,False,0.78125,0.53125
sub-016,11,366,395,30,15,15,True,0.5,0.4666666666666667
sub-016,12,396,426,31,15,16,False,0.5161290322580645,0.5161290322580645
sub-016,13,427,457,31,16,15,False,0.7419354838709677,0.4838709677419355
sub-016,14,458,485,28,15,13,False,0.5714285714285714,0.4642857142857143
sub-009,1,60,94,35,15,20,False,0.5142857142857142,0.5142857142857142
sub-009,2,95,132,38,23,15,True,0.39473684210526316,0.42105263157894735
sub-009,3,133,166,34,15,19,False,0.5294117647058824,0.5588235294117647
sub-009,4,167,197,31,15,16,False,0.6129032258064516,0.5161290322580645
sub-009,5,198,229,32,15,17,True,0.5,0.53125
sub-009,6,230,263,34,19,15,False,0.5588235294117647,0.4411764705882353
sub-009,7,264,295,32,15,17,False,0.46875,0.53125
sub-009,8,296,334,39,15,24,True,0.38461538461538464,0.6153846153846154
sub-009,9,335,374,40,25,15,False,0.575,0.375
sub-009,10,375,411,37,15,22,True,0.4594594594594595,0.5945945945945946
sub-009,11,412,443,32,17,15,False,0.4375,0.46875
sub-009,12,444,477,34,19,15,False,0.6470588235294118,0.4411764705882353
sub-009,13,478,492,15,6,9,False,0.4,0.6
