subject,block,trial_start,trial_end,n,n_L,n_R,new_session,acc_adaptive,acc_frozen
S43,1,60,90,31,15,16,False,0.6451612903225806,0.6451612903225806
S43,2,91,120,30,15,15,False,0.4,0.5333333333333333
S43,3,121,150,30,15,15,False,0.36666666666666664,0.43333333333333335
S43,4,151,180,30,15,15,False,0.5,0.36666666666666664
S43,5,181,210,30,15,15,False,0.5333333333333333,0.5666666666666667
S43,6,211,241,31,15,16,True,0.6451612903225806,0.4838709677419355
S43,7,242,271,30,15,15,False,0.5,0.5
S43,8,272,302,31,16,15,False,0.5483870967741935,0.5161290322580645
S43,9,303,332,30,15,15,False,0.5333333333333333,0.5333333333333333
S43,10,333,362,30,15,15,False,0.5,0.4666666666666667
S43,11,363,392,30,15,15,False,0.6,0.4666666666666667
S43,12,393,423,31,16,15,False,0.5806451612903226,0.45161290322580644
S43,13,424,453,30,15,15,True,0.6333333333333333,0.5
S43,14,454,484,31,15,16,False,0.45161290322580644,0.6129032258064516
S43,15,485,514,30,15,15,False,0.5333333333333333,0.43333333333333335
S43,16,515,545,31,16,15,False,0.5483870967741935,0.45161290322580644
S43,17,546,575,30,15,15,False,0.4666666666666667,0.4666666666666667
S43,18,576,606,31,16,15,False,0.4838709677419355,0.5483870967741935
S43,19,607,636,30,15,15,False,0.5666666666666667,0.5
S43,20,637,667,31,15,16,False,0.6129032258064516,0.5483870967741935
S43,21,668,697,30,15,15,True,0.5,0.6
S43,22,698,728,31,15,16,False,0.5483870967741935,0.4838709677419355
S43,23,729,758,30,15,15,False,0.7666666666666667,0.5666666666666667
S43,24,759,788,30,15,15,False,0.5333333333333333,0.5
S43,25,789,818,30,15,15,False,0.6666666666666666,0.5
S43,26,819,848,30,15,15,False,0.5666666666666667,0.4666666666666667
S43,27,849,878,30,15,15,False,0.7666666666666667,0.5666666666666667
S43,28,879,909,31,16,15,True,0.5483870967741935,0.6129032258064516
S43,29,910,939,30,15,15,False,0.6666666666666666,0.5
S43,30,940,969,30,15,15,False,0.7666666666666667,0.5
S43,31,970,999,30,15,15,False,0.5666666666666667,0.5
S43,32,1000,1029,30,15,15,False,0.6666666666666666,0.4666666666666667
S43,33,1030,1059,30,15,15,False,0.5333333333333333,0.5333333333333333
S43,34,1060,1089,30,15,15,False,0.7333333333333333,0.4666666666666667
S43,35,1090,1119,30,15,15,False,0.7,0.5333333333333333
S43,36,1120,1149,30,15,15,True,0.5333333333333333,0.5
S43,37,1150,1179,30,15,15,False,0.6666666666666666,0.5333333333333333
S43,38,1180,1210,31,16,15,False,0.6451612903225806,0.6451612903225806
S43,39,1211,1240,30,15,15,False,0.4666666666666667,0.5666666666666667
S43,40,1241,1270,30,15,15,False,0.6666666666666666,0.5666666666666667
S43,41,1271,1300,30,15,15,False,0.5,0.6333333333333333
S43,42,1301,1330,30,15,15,False,0.5666666666666667,0.5
S43,43,1331,1360,30,15,15,True,0.4,0.4666666666666667
S43,44,1361,1390,30,15,15,False,0.5,0.5333333333333333
S43,45,1391,1420,30,15,15,False,0.6,0.5
S43,46,1421,1450,30,15,15,False,0.6,0.5
S43,47,1451,1480,30,15,15,False,0.5666666666666667,0.5
S43,48,1481,1510,30,15,15,False,0.6,0.5
S43,49,1511,1540,30,15,15,False,0.43333333333333335,0.5
S43,50,1541,1571,31,16,15,False,0.5483870967741935,0.45161290322580644
S29,1,60,89,30,15,15,False,0.5,0.5
S29,2,90,120,31,16,15,False,0.4838709677419355,0.5161290322580645
S29,3,121,150,30,15,15,False,0.5666666666666667,0.5
S29,4,151,180,30,15,15,False,0.6333333333333333,0.5
S29,5,181,210,30,15,15,False,0.6,0.5
